blockid,blockfoundat,duration,poolhashrate,ourhashrate,amount,totalreward
31755,12/4/2017 15:07,1:44:41,1227,56.21,0.00063341,14.11147281
31754,12/4/2017 13:22,1:25:34,1176,54.69,0.00059262,13.00676991
31753,12/4/2017 11:57,1:46:01,1170,56.72,0.00065894,13.8645296
31752,12/4/2017 10:10,0:31:39,1150,56.8,0.00068604,14.17739074
31751,12/4/2017 9:39,2:57:19,1156,55.91,0.00068137,14.37690046
31750,12/4/2017 6:42,2:27:30,1150,56.73,0.00067046,13.86728506
31749,12/4/2017 4:14,0:06:32,1129,55.5,0.00064608,13.41052294
31748,12/4/2017 4:07,2:14:42,1129,55.82,0.0006391,13.18932938
31747,12/4/2017 1:53,0:38:58,1143,55.83,0.00065901,13.77137447
31746,12/4/2017 1:14,1:05:05,1165,58.23,0.00065476,13.3642717
31745,12/4/2017 0:09,0:08:38,1183,56.74,0.00061161,13.01687726
31744,12/4/2017 0:00,0:27:52,1178,57.47,0.00062006,12.97127127
31743,12/3/2017 23:32,1:13:42,1193,56.71,0.00063018,13.52503854
31742,12/3/2017 22:19,0:06:17,1200,57.68,0.00066216,14.06210049
31741,12/3/2017 22:12,3:17:52,1199,57.06,0.00066989,14.36841441
31740,12/3/2017 18:54,0:34:19,1184,54.97,0.00058316,12.82146751
31739,12/3/2017 18:20,1:26:17,1189,54.9,0.00058317,12.88250785
31738,12/3/2017 16:54,0:29:48,1220,56.16,0.00061576,13.65500763
31737,12/3/2017 16:24,1:17:38,1217,56.36,0.00063424,13.97280032
31736,12/3/2017 15:06,3:27:42,1241,55.39,0.00062188,14.21229683
31735,12/3/2017 11:39,1:21:58,1232,57.44,0.00064981,14.21780578
31734,12/3/2017 10:17,1:32:42,1234,54.88,0.00057578,13.20563969
31733,12/3/2017 8:44,1:31:01,1186,55.64,0.00066483,14.46457319
31732,12/3/2017 7:13,0:19:11,1155,56.19,0.00064417,13.51023701
31731,12/3/2017 6:54,1:26:49,1150,55.5,0.00060055,12.69868686
31730,12/3/2017 5:27,0:58:25,1149,57.06,0.00065439,13.44137251
31729,12/3/2017 4:29,1:03:39,1134,56.91,0.00063378,12.88883712
31728,12/3/2017 3:25,0:21:55,1149,56.88,0.00066267,13.65899429
31727,12/3/2017 3:03,0:57:11,1148,57.8,0.00067511,13.68253722
31726,12/3/2017 2:06,0:13:43,1144,58.15,0.00067892,13.63184197
31725,12/3/2017 1:52,0:59:37,1142,57.42,0.00063717,12.92949837
31724,12/3/2017 0:52,0:58:52,1138,58.13,0.00065583,13.09997564
