blockid,blockfoundat,duration,poolhashrate,ourhashrate,amount,totalreward,yourhashrate
31755,12/4/2017 15:07,1:44:41,1227,56.21,0.000281769,14.11147281,25
31754,12/4/2017 13:22,1:25:34,1176,54.69,0.000270974,13.00676991,25
31753,12/4/2017 11:57,1:46:01,1170,56.72,0.000290326,13.8645296,25
31752,12/4/2017 10:10,0:31:39,1150,56.8,0.00030204,14.17739074,25
31751,12/4/2017 9:39,2:57:19,1156,55.91,0.000304701,14.37690046,25
31750,12/4/2017 6:42,2:27:30,1150,56.73,0.000295433,13.86728506,25
31749,12/4/2017 4:14,0:06:32,1129,55.5,0.000291017,13.41052294,25
31748,12/4/2017 4:07,2:14:42,1129,55.82,0.000286217,13.18932938,25
31747,12/4/2017 1:53,0:38:58,1143,55.83,0.000295187,13.77137447,25
31746,12/4/2017 1:14,1:05:05,1165,58.23,0.000281051,13.3642717,25
31745,12/4/2017 0:09,0:08:38,1183,56.74,0.00026958,13.01687726,25
31744,12/4/2017 0:00,0:27:52,1178,57.47,0.000269776,12.97127127,25
31743,12/3/2017 23:32,1:13:42,1193,56.71,0.000277756,13.52503854,25
31742,12/3/2017 22:19,0:06:17,1200,57.68,0.000287101,14.06210049,25
31741,12/3/2017 22:12,3:17:52,1199,57.06,0.0002936,14.36841441,25
31740,12/3/2017 18:54,0:34:19,1184,54.97,0.000265309,12.82146751,25
31739,12/3/2017 18:20,1:26:17,1189,54.9,0.000265451,12.88250785,25
31738,12/3/2017 16:54,0:29:48,1220,56.16,0.000274219,13.65500763,25
31737,12/3/2017 16:24,1:17:38,1217,56.36,0.000281293,13.97280032,25
31736,12/3/2017 15:06,3:27:42,1241,55.39,0.000280581,14.21229683,25
31735,12/3/2017 11:39,1:21:58,1232,57.44,0.00028274,14.21780578,25
31734,12/3/2017 10:17,1:32:42,1234,54.88,0.000262187,13.20563969,25
31733,12/3/2017 8:44,1:31:01,1186,55.64,0.000298804,14.46457319,25
31732,12/3/2017 7:13,0:19:11,1155,56.19,0.000286581,13.51023701,25
31731,12/3/2017 6:54,1:26:49,1150,55.5,0.000270537,12.69868686,25
31730,12/3/2017 5:27,0:58:25,1149,57.06,0.000286609,13.44137251,25
31729,12/3/2017 4:29,1:03:39,1134,56.91,0.000278463,12.88883712,25
31728,12/3/2017 3:25,0:21:55,1149,56.88,0.000291249,13.65899429,25
31727,12/3/2017 3:03,0:57:11,1148,57.8,0.000292005,13.68253722,25
31726,12/3/2017 2:06,0:13:43,1144,58.15,0.000291941,13.63184197,25
31725,12/3/2017 1:52,0:59:37,1142,57.42,0.000277384,12.92949837,25
31724,12/3/2017 0:52,0:58:52,1138,58.13,0.000282029,13.09997564,25
31723,12/2/2017 23:54,1:17:13,1158,56.81,0.000296012,13.99107901,25
31722,12/2/2017 22:36,0:02:36,1164,58.28,0.000294309,13.98270018,25
31721,12/2/2017 22:34,3:46:06,1166,58.45,0.000302792,14.41044485,25
31720,12/2/2017 18:48,0:38:46,1142,57.21,0.000304231,14.18087256,25
31719,12/2/2017 18:09,1:18:36,1140,55.93,0.000300551,13.98483315,25
31718,12/2/2017 16:50,1:50:28,1193,57.13,0.000274944,13.388094,25
31717,12/2/2017 15:00,2:47:27,1177,56.99,0.000319295,15.33920974,25
31716,12/2/2017 12:12,0:28:33,1186,54.11,0.000266012,12.87712821,25
31715,12/2/2017 11:44,2:00:15,1187,54.56,0.000261666,12.67746272,25
31714,12/2/2017 9:44,0:39:18,1149,46.08,0.000297942,13.97285283,25
31713,12/2/2017 9:04,0:44:34,1162,46.05,0.000297614,14.11538858,25
31712,12/2/2017 8:20,1:28:46,1154,45.91,0.000298877,14.07770004,25
31711,12/2/2017 6:51,0:01:25,1139,45.42,0.000278325,12.93926752,25
31710,12/2/2017 6:50,0:47:43,1141,45.41,0.00028096,13.08468789,25
31709,12/2/2017 6:02,1:59:24,1150,45.28,0.000300176,14.08990533,25
31708,12/2/2017 4:02,0:15:05,1140,44.79,0.000308193,14.34040394,25
31707,12/2/2017 3:47,0:08:01,1131,43.96,0.0003002,13.8582349,25
31706,12/2/2017 3:39,0:44:23,1136,43.76,0.00030248,14.02520316,25
31705,12/2/2017 2:55,1:35:35,1139,44.63,0.000316815,14.72864731,25
31704,12/2/2017 1:19,1:04:05,1126,44.12,0.000286712,13.17705415,25
31703,12/2/2017 0:15,0:59:20,1127,45.78,0.000282459,12.99312077,25
31702,12/1/2017 23:16,1:31:21,1079,45.62,0.000317466,13.98145906,25
31701,12/1/2017 21:45,1:16:09,1139,45.33,0.000324239,15.07378451,25
31700,12/1/2017 20:28,1:24:42,1138,44.56,0.00028934,13.43955186,25
31699,12/1/2017 19:04,0:59:42,1106,44.16,0.000283461,12.79625773,25
31698,12/1/2017 18:04,1:00:05,1091,44.54,0.000293054,13.04985253,25
31697,12/1/2017 17:04,2:08:51,1104,47.19,0.000313907,14.14503741,25
31696,12/1/2017 14:55,2:15:54,1084,45.05,0.000316088,13.98530285,25
31695,12/1/2017 12:39,1:59:23,1098,46.02,0.000304522,13.64757479,25
31694,12/1/2017 10:40,0:29:01,1119,44.6,0.000305638,13.9595524,25
31693,12/1/2017 10:11,1:11:20,1127,44.75,0.000317602,14.60969745,25
31692,12/1/2017 8:59,0:06:08,1141,45.5,0.000298536,13.9032477,25
31691,12/1/2017 8:53,5:00:08,1149,45.71,0.000301903,14.15864668,25
31690,12/1/2017 3:53,0:03:19,1104,45.75,0.000284926,12.83913439,25
31689,12/1/2017 3:50,0:41:13,1107,45.17,0.000300244,13.56611554,25
31688,12/1/2017 3:09,0:30:45,1104,44.51,0.000286399,12.9054752,25
31687,12/1/2017 2:38,6:22:44,1111,45.13,0.0002839,12.87399198,25
31686,11/30/2017 20:15,0:25:41,1085,43.14,0.000325389,14.41009556,25
31685,11/30/2017 19:50,0:31:50,1087,45.88,0.0003188,14.14432011,25
31684,11/30/2017 19:18,2:18:14,1086,46.35,0.000316523,14.03034744,25
31683,11/30/2017 16:59,0:31:26,1064,46.3,0.000323647,14.05554804,25
31682,11/30/2017 16:28,0:18:11,1099,46.18,0.000322011,14.44448618,25
31681,11/30/2017 16:10,1:16:20,1097,45.61,0.000330569,14.80140791,25
31680,11/30/2017 14:54,0:02:57,1068,45.3,0.000326668,14.24003746,25
31679,11/30/2017 14:51,1:10:12,1066,45.27,0.000327446,14.24726142,25
31678,11/30/2017 13:40,1:07:24,1098,43.56,0.000324011,14.52099856,25
31677,11/30/2017 12:33,0:55:26,1121,44.45,0.000332859,15.22999502,25
31676,11/30/2017 11:38,1:46:38,1107,44.98,0.000315873,14.27229295,25
31675,11/30/2017 9:51,0:09:36,1086,43.92,0.00031446,13.93894233,25
31674,11/30/2017 9:41,1:39:01,1088,43.22,0.000321176,14.26283956,25
31673,11/30/2017 8:02,0:16:57,1083,44.05,0.000307788,13.60547473,25
31672,11/30/2017 7:45,0:43:17,1080,45.55,0.000317257,13.9851973,25
31671,11/30/2017 7:02,1:00:26,1091,44.99,0.000343783,15.30886165,25
31670,11/30/2017 6:02,0:39:28,1084,44.87,0.000318732,14.10225752,25
31669,11/30/2017 5:22,0:07:18,1077,44.57,0.000312767,13.74897997,25
31668,11/30/2017 5:15,0:09:42,1075,45.42,0.000310635,13.62990021,25
31667,11/30/2017 5:05,0:10:04,1075,45.12,0.000322345,14.14370757,25
31666,11/30/2017 4:55,0:13:16,1068,44.65,0.000307489,13.40401552,25
31665,11/30/2017 4:42,0:07:57,1073,44.83,0.000307866,13.4832932,25
31664,11/30/2017 4:34,3:54:30,1072,45.71,0.000314374,13.75546165,25
31663,11/30/2017 0:39,4:41:58,1079,43.07,0.000325193,14.32176041,25
